ID,uniorg,interests,subject,grad_date,course_level,branch_name,age,gender,space_word,mtype,status,registration_date
2219,University of Southampton,jobs;skills,Aeronautics and astronautics,2021,undergrad,,0,male,Apogee,Member,150,20/01/2017
2220,University of Nottingham,careers;jobs;skills;volunteer;mentor,Aerospace Engineering,2019,undergrad,,0,male,exploration,Member,150,20/01/2017
2221,King's College London,careers;jobs;skills;volunteer;mentor,English Law and French Law,2019,undergrad,,0,female,Nebula,Member,150,22/01/2017
2222,Birkbeck College,careers;jobs;skills;volunteer;mentor,Planetary Science and astronomy,2020,undergrad,,0,female,Hubble,Member,150,23/01/2017
2223,University of Leicester,careers;jobs;skills;volunteer,,,undergrad,,0,male,Time,Member,150,24/01/2017
2224,Lancaster University,careers;jobs;skills;volunteer;mentor,mechanical engineering,2017,undergrad,,0,male,quasar,Member,150,26/01/2017
2225,"St. Marks Primary School, Bromley, London",careers;jobs;skills;volunteer;mentor,Primary,,,,0,male,Sapceship,Member,150,27/01/2017
2226,Staffordshire University,careers;jobs;skills,Mechanical Engineering,2017,undergrad,,0,male,VY Canis Majoris,Member,150,27/01/2017
2227,University of Edinburgh,jobs;skills;mentor,PhD Science and Technology Studies,2018,phd,Space_Ed,0,male,Andromeda,Member,150,28/01/2017
2228,Open University,skills,Space Science,2019,masters,,0,male,cosmos,Member,150,29/01/2017
2229,University of Exeter,careers;jobs;skills,Physics with Astrophysics,2020,undergrad,Space:Exe,0,male,nebula,Member,150,29/01/2017
2230,Open University,careers;jobs;skills;volunteer,MSc Space Science and Technology,TBC,masters,,0,male,Moon,Member,150,29/01/2017
2231,University of Huddersfield,careers;jobs;skills,Mechanical Engineering,2018,undergrad,,0,male,Colonisation,Member,150,30/01/2017
2232,Nottingham Trent University,careers;jobs;skills;volunteer,Physics with Astrophysics,2020,undergrad,,0,female,Pulsar,Member,150,30/01/2017
2233,University of Leicester,careers;jobs;skills,Space Exploration Systems,2017,masters,,0,male,exploration,Member,150,30/01/2017
2234,Abertay University/ Sweco,careers;jobs;skills;volunteer,Civil Engineering,2018,undergrad,,0,male,Celestial,Member,150,30/01/2017
2235,Open University,skills,MSc Space Science and Technology,2019,masters,,0,male,bolide,Member,150,30/01/2017
2236,Nottingham Trent University,careers;jobs;skills;volunteer,Physics with Astrophysics,2018,undergrad,,0,female,equinox,Member,150,31/01/2017
2237,University of Strathclyde,careers;jobs;skills,Mechanical Engineering,2020,undergrad,,0,male,Wolf 1061c,Member,150,01/02/2017
2238,University of Manchester,careers;jobs;volunteer,Aerospace Engineering,2021,undergrad,Manchester SEDS (MANSEDS),0,male,Quasar,Member,150,02/02/2017
2239,University of Cambridge,jobs;skills;volunteer,Engineering,2020,undergrad,,0,female,perihelion,Member,150,02/02/2017
2240,University of Nottingham,careers;jobs;skills,Physics,2017,undergrad,Nottingham PhysSoc,0,female,Nebula,Member,150,02/02/2017
